feature,CatBoost,LightGBM,PoissonRegressor,RandomForest,XGBoost
cases_lag1,0.012867553061841189,0.009533366661719193,0.0015349642811989922,0.026662187939694507,0.010017313459103746
cases_lag2,0.013509349780089339,0.009143959199287248,0.0031669343736013874,0.025164821271079014,0.011811392726019521
cases_lag3,0.02482680493862454,0.013449668658490366,0.005424168671266856,0.03401601769742333,0.01907922420262199
cases_per_100k,0.036283801695646885,0.04789688064441708,0.0026167171591186377,0.017995651867276353,0.036221626012401094
cases_roll2_mean,0.018849344142909428,0.019530733308656997,0.001560563556689027,0.0470171520101962,0.01977852562351856
cases_roll4_mean,0.06868339655419818,0.07937494034531897,0.0376863973704533,0.0621743169379849,0.07783264702742426
dengue_cases_reported,0.008093487059507201,0.009258063589178056,0.003940289297032487,0.01459433778962679,0.013380090335695097
dengue_deaths_weekly,9.333229500680629e-05,0.0,1.197556407679465e-18,1.2374988225995624e-05,0.0
district_case_q75,0.42275567039045486,0.3827717207964661,0.1172466403725235,0.37301857076013467,0.3635704548203027
humidity_max_week,0.014483331138806423,0.017385962237387857,0.008376399773385636,0.011781823911353483,0.020890923279211004
humidity_mean_week,0.01868750164684995,0.03387709354573131,0.015782025814026737,0.009989064758929923,0.03172975190627953
humidity_mean_week_lag1,0.02536076352884265,0.03776152680737372,0.03304463371127532,0.015972526289640746,0.03450972008405069
humidity_mean_week_lag2,0.02855190956374706,0.021451814691193758,0.09092582542647282,0.018844964778052718,0.02161195173884059
iso_week,0.014089808669303807,0.023037977033796495,0.0633089589826323,0.038310193746386764,0.01544310852552659
rainfall_total_week,0.01614379212368145,0.01855229189335874,0.009393189268688066,0.010877024745050031,0.023438141146618248
rainfall_total_week_lag1,0.028881415144757606,0.033987076082414386,0.0027136147201788823,0.017095834753148076,0.034635399939991825
rainfall_total_week_lag2,0.016880025041186335,0.02133310216202402,0.04167688533339384,0.017682241209554077,0.022534432340768202
temperature_max_week,0.015035327458360018,0.017316618111435568,0.021045601052322557,0.014997248708059106,0.020439664323003048
temperature_mean_week,0.024606900230498652,0.026465696247095303,0.08364499449931552,0.020774266248393798,0.0397168813254901
temperature_mean_week_lag1,0.03686505905964188,0.047672681255386935,0.06591579728385853,0.02049815547940559,0.036718093245636435
temperature_mean_week_lag2,0.028725080603610016,0.03039084521868706,0.09802250402594484,0.014782458626375118,0.030707647317112473
week_cos,0.011941572773122626,0.009208637346171264,0.09656784611371445,0.007120457918799415,0.016535447069937804
week_sin,0.03725292519075252,0.018854849448106174,0.11707836323742199,0.045930750297799784,0.02555632273827811
worldpop_density_per_km2,0.025083673718910623,0.02742256502388757,0.038113980485541814,0.06581111399187903,0.030439730126631724
worldpop_total,0.021224039624693103,0.017168207193874744,0.041212705189942196,0.04467341286530571,0.01716548213650545
year,0.030224134564956918,0.027153722498541092,1.795353656952289e-16,0.02420303041022481,0.026236028549031173
