feature,mean_abs_shap,model,normalized_importance
district_case_q75,1.535745319376192,CatBoost,0.42275567039045486
cases_roll4_mean,0.24950630391201561,CatBoost,0.06868339655419818
week_sin,0.13532877144363276,CatBoost,0.03725292519075252
temperature_mean_week_lag1,0.1339197694192541,CatBoost,0.03686505905964188
cases_per_100k,0.13180823469924952,CatBoost,0.036283801695646885
year,0.10979527051040774,CatBoost,0.030224134564956918
rainfall_total_week_lag1,0.10491757114589755,CatBoost,0.028881415144757606
temperature_mean_week_lag2,0.1043496543640777,CatBoost,0.028725080603610016
humidity_mean_week_lag2,0.10372057560169134,CatBoost,0.02855190956374706
humidity_mean_week_lag1,0.0921280933955414,CatBoost,0.02536076352884265
worldpop_density_per_km2,0.09112150872156902,CatBoost,0.025083673718910623
cases_lag3,0.09018838102004374,CatBoost,0.02482680493862454
temperature_mean_week,0.08938953277301442,CatBoost,0.024606900230498652
worldpop_total,0.07710060868438016,CatBoost,0.021224039624693103
cases_roll2_mean,0.0684740479389624,CatBoost,0.018849344142909428
humidity_mean_week,0.06788612239896918,CatBoost,0.01868750164684995
rainfall_total_week_lag2,0.06132009873223486,CatBoost,0.016880025041186335
rainfall_total_week,0.058645584027359275,CatBoost,0.01614379212368145
temperature_max_week,0.05461886235171851,CatBoost,0.015035327458360018
humidity_max_week,0.052613624282920136,CatBoost,0.014483331138806423
iso_week,0.05118407446742073,CatBoost,0.014089808669303807
cases_lag2,0.04907544036825395,CatBoost,0.013509349780089339
cases_lag1,0.046743984222129956,CatBoost,0.012867553061841189
week_cos,0.04338017388477663,CatBoost,0.011941572773122626
dengue_cases_reported,0.02940122567153295,CatBoost,0.008093487059507201
dengue_deaths_weekly,0.00033904840370552,CatBoost,9.333229500680629e-05
district_case_q75,2.1479713956856883,LightGBM,0.3827717207964661
cases_roll4_mean,0.4454224074893495,LightGBM,0.07937494034531897
cases_per_100k,0.2687793375976307,LightGBM,0.04789688064441708
temperature_mean_week_lag1,0.26752121467892365,LightGBM,0.047672681255386935
humidity_mean_week_lag1,0.21190353161639813,LightGBM,0.03776152680737372
rainfall_total_week_lag1,0.19072272919252006,LightGBM,0.033987076082414386
humidity_mean_week,0.19010554842919558,LightGBM,0.03387709354573131
