feature,mean_abs_shap,model,normalized_importance
district_case_q75,1.5261619696390618,CatBoost,0.41767581556892286
cases_roll4_mean,0.22268126036599226,CatBoost,0.060942795643949936
cases_per_100k,0.14081867063164316,CatBoost,0.03853886695742604
temperature_mean_week_lag1,0.12776736631925503,CatBoost,0.03496702184441741
year,0.11764871165317162,CatBoost,0.03219777623078427
week_sin,0.11475328251027404,CatBoost,0.03140536313653859
worldpop_density_per_km2,0.11214920833439276,CatBoost,0.030692687269330072
ndwi_mean,0.11045403296724195,CatBoost,0.030228756331400517
rainfall_total_week_lag1,0.09198104197825248,CatBoost,0.025173118901810843
humidity_mean_week_lag2,0.08944700710480669,CatBoost,0.024479611198498806
cases_lag3,0.0882889162459585,CatBoost,0.024162668073460295
temperature_mean_week_lag2,0.08269382136989921,CatBoost,0.022631417877194266
temperature_mean_week,0.07973669491064264,CatBoost,0.021822119630886545
humidity_mean_week,0.07754777191276806,CatBoost,0.02122306119767774
cases_roll2_mean,0.07500271859835425,CatBoost,0.02052653799770862
rainfall_total_week_lag2,0.06903300016253933,CatBoost,0.01889276185467871
iso_week,0.06841183803168205,CatBoost,0.018722763909003456
humidity_mean_week_lag1,0.06209397981005997,CatBoost,0.01699370982571444
rainfall_total_week,0.054044340087304764,CatBoost,0.014790706538302603
cases_lag2,0.048212019037181135,CatBoost,0.013194532934365726
temperature_max_week,0.04815195869630994,CatBoost,0.013178095785258508
humidity_max_week,0.04713182843721318,CatBoost,0.01289890933818989
ndvi_mean,0.046617911232632175,CatBoost,0.012758261889342084
cases_lag1,0.04169578612285749,CatBoost,0.011411188210102372
worldpop_total,0.04017742316997483,CatBoost,0.010995646808015878
week_cos,0.03964467851494931,CatBoost,0.010849846714248377
dengue_cases_reported,0.03130456584999613,CatBoost,0.008567347589928786
dengue_deaths_weekly,0.000287238862435042,CatBoost,7.861074284207162e-05
district_case_q75,2.1797980961084447,LightGBM,0.38537825066036147
