district,year,iso_week,dengue_cases_reported,dengue_deaths_weekly,temperature_mean_week,humidity_mean_week,rainfall_total_week,temperature_max_week,humidity_max_week,population_2011,cases_per_100k,cases_lag1,cases_lag2,cases_lag3,cases_roll2_mean,cases_roll4_mean,temperature_mean_week_lag1,temperature_mean_week_lag2,humidity_mean_week_lag1,humidity_mean_week_lag2,rainfall_total_week_lag1,rainfall_total_week_lag2,week_sin,week_cos,target_cases_plus1,target_cases_plus2,district_case_q75,target_outbreak_plus1,target_outbreak_plus2,is_unreliable_2017_peak_week,exclude_target_plus1,exclude_target_plus2,exclude_training_row,worldpop_total,worldpop_density_per_km2,ndvi_mean
Bagalkote,2017,3,0.0,0.0,23.96076355690541,9.2350777247551,0.0042915338553938,25.478270193791783,10.855745130871128,1889752,0.0,0.0,0.0,7.0,0.0,,23.39789609704511,22.531002374321613,10.853256194953785,7.636716451415834,0.00935932065477,0.0068785653297708,0.3546048870425356,0.9350162426854148,5.0,0.0,3.0,1,0,False,False,False,False,1707672.5378205092,259.7180699519906,0.3597673325980507
Bagalkote,2017,4,5.0,0.0,25.24601342962878,12.631168545676148,0.0682646274949516,25.78308268077882,14.915946640357674,1889752,0.2645849825797248,0.0,0.0,0.0,0.0,1.75,23.96076355690541,23.39789609704511,9.2350777247551,10.853256194953785,0.0042915338553938,0.00935932065477,0.4647231720437685,0.8854560256532099,0.0,0.0,3.0,0,0,False,False,False,False,1707672.5378205092,259.7180699519906,0.3597673325980507
Bagalkote,2017,5,0.0,0.0,25.527285036345884,9.064462553395808,0.0090314089966622,26.07768884276453,10.971588932284874,1889752,0.0,5.0,0.0,0.0,2.5,1.25,25.24601342962878,23.96076355690541,12.631168545676148,9.2350777247551,0.0682646274949516,0.0042915338553938,0.5680647467311558,0.8229838658936564,0.0,0.0,3.0,0,0,False,False,False,False,1707672.5378205092,259.7180699519906,0.3497570384395441
Bagalkote,2017,6,0.0,0.0,25.81471692140607,8.422755926418208,0.0051566914862632,26.07725324953424,10.200972695769051,1889752,0.0,0.0,5.0,0.0,2.5,1.25,25.527285036345884,25.24601342962878,9.064462553395808,12.631168545676148,0.0090314089966622,0.0682646274949516,0.6631226582407952,0.7485107481711011,0.0,1.0,3.0,0,0,False,False,False,False,1707672.5378205092,259.7180699519906,0.3497570384395441
Bagalkote,2017,7,0.0,0.0,25.720835796198976,8.416158969637495,0.0103010765428732,26.918808842987005,10.55734614436875,1889752,0.0,0.0,0.0,5.0,0.0,1.25,25.81471692140607,25.527285036345884,8.422755926418208,9.064462553395808,0.0051566914862632,0.0090314089966622,0.7485107481711011,0.6631226582407953,1.0,0.0,3.0,0,0,False,False,False,False,1707672.5378205092,259.7180699519906,0.3369931154211272
Bagalkote,2017,8,1.0,0.0,28.024669984325264,7.272014141208656,0.0077151488540037,28.82824355857997,8.78861053506057,1889752,0.0529169965159449,0.0,0.0,0.0,0.0,1.25,25.720835796198976,25.81471692140607,8.416158969637495,8.422755926418208,0.0103010765428732,0.0051566914862632,0.8229838658936564,0.5680647467311558,0.0,0.0,3.0,0,0,False,False,False,False,1707672.5378205092,259.7180699519906,0.3369931154211272
Bagalkote,2017,9,0.0,0.0,27.701869332374844,5.569665440065413,0.0077472987136671,27.94055867037389,6.647251841801619,1889752,0.0,1.0,0.0,0.0,0.5,0.25,28.024669984325264,25.720835796198976,7.272014141208656,8.416158969637495,0.0077151488540037,0.0103010765428732,0.8854560256532098,0.4647231720437686,0.0,5.0,3.0,0,1,False,False,False,False,1707672.5378205092,259.7180699519906,0.3298171598173772
Bagalkote,2017,10,0.0,0.0,27.085620312849205,6.169752171602454,0.0038717727193214,28.468258130040056,8.524000682472206,1889752,0.0,0.0,1.0,0.0,0.5,0.25,27.701869332374844,28.024669984325264,5.569665440065413,7.272014141208656,0.0077472987136671,0.0077151488540037,0.9350162426854148,0.3546048870425355,5.0,3.0,3.0,1,1,False,False,False,False,1707672.5378205092,259.7180699519906,0.3298171598173772
Bagalkote,2017,11,5.0,0.0,28.82487537786025,10.235897082124747,1.1790919643680104,30.153400844027946,15.979932584390724,1889752,0.2645849825797248,0.0,0.0,1.0,0.0,0.25,27.085620312849205,27.701869332374844,6.169752171602454,5.569665440065413,0.0038717727193214,0.0077472987136671,0.970941817426052,0.2393156642875578,3.0,0.0,3.0,1,0,False,False,False,False,1707672.5378205092,259.7180699519906,0.3358334292755018
Bagalkote,2017,12,3.0,0.0,30.641959816736364,9.732295680807283,0.0081230677047015,32.20189282074864,11.852420163902195,1889752,0.1587509895478348,5.0,0.0,0.0,2.5,1.5,28.82487537786025,27.085620312849205,10.235897082124747,6.169752171602454,1.1790919643680104,0.0038717727193214,0.992708874098054,0.120536680255323,0.0,0.0,3.0,0,0,False,False,False,False,1707672.5378205092,259.7180699519906,0.3358334292755018
