feature,mean_abs_shap,model,normalized_importance,rank
district_case_q75,1.5261619696390618,CatBoost,0.41767581556892286,1
cases_roll4_mean,0.22268126036599226,CatBoost,0.060942795643949936,2
cases_per_100k,0.14081867063164316,CatBoost,0.03853886695742604,3
temperature_mean_week_lag1,0.12776736631925503,CatBoost,0.03496702184441741,4
year,0.11764871165317162,CatBoost,0.03219777623078427,5
week_sin,0.11475328251027404,CatBoost,0.03140536313653859,6
worldpop_density_per_km2,0.11214920833439276,CatBoost,0.030692687269330072,7
ndwi_mean,0.11045403296724195,CatBoost,0.030228756331400517,8
rainfall_total_week_lag1,0.09198104197825248,CatBoost,0.025173118901810843,9
humidity_mean_week_lag2,0.08944700710480669,CatBoost,0.024479611198498806,10
district_case_q75,2.1797980961084447,LightGBM,0.38537825066036147,1
cases_roll4_mean,0.44113295677484027,LightGBM,0.07799027235321668,2
cases_per_100k,0.2647144901844071,LightGBM,0.046800301061755305,3
temperature_mean_week_lag1,0.23656173771407207,LightGBM,0.041823024259072875,4
humidity_mean_week_lag1,0.21115721282409983,LightGBM,0.03733162141839985,5
ndwi_mean,0.17475466505900825,LightGBM,0.030895818853778605,6
humidity_mean_week,0.16703196702864742,LightGBM,0.029530481457332593,7
temperature_mean_week_lag2,0.15976328821816504,LightGBM,0.02824541256512801,8
worldpop_density_per_km2,0.14731765080911963,LightGBM,0.02604508126764969,9
year,0.14720957469744025,LightGBM,0.02602597390952715,10
week_cos,0.399457571053346,PoissonRegressor,0.14607550339755032,1
humidity_mean_week_lag2,0.286547916482197,PoissonRegressor,0.1047861755061496,2
district_case_q75,0.2833578283287678,PoissonRegressor,0.10361960922561589,3
week_sin,0.2134528114627213,PoissonRegressor,0.07805641736572673,4
temperature_mean_week_lag2,0.19119747242833993,PoissonRegressor,0.06991798142581496,5
temperature_mean_week_lag1,0.17267857198880573,PoissonRegressor,0.06314590373821291,6
ndwi_mean,0.163385658316692,PoissonRegressor,0.05974762782344071,7
temperature_mean_week,0.15820564756480107,PoissonRegressor,0.0578533773873008,8
iso_week,0.14565264613161702,PoissonRegressor,0.0532629374097402,9
humidity_mean_week_lag1,0.13720897184097144,PoissonRegressor,0.05017521530378896,10
district_case_q75,0.1359865515634757,RandomForest,0.35642462596930513,1
worldpop_density_per_km2,0.026387083806884242,RandomForest,0.06916129843839272,2
cases_roll4_mean,0.022502768518483037,RandomForest,0.0589803974015059,3
cases_roll2_mean,0.01823062322064854,RandomForest,0.04778298286043327,4
worldpop_total,0.018020528012913158,RandomForest,0.04723231733524659,5
week_sin,0.016632754233340506,RandomForest,0.04359492272065262,6
iso_week,0.014407299370588142,RandomForest,0.03776194212111275,7
cases_lag3,0.012630784182342359,RandomForest,0.03310564519895916,8
ndwi_mean,0.01018644968588537,RandomForest,0.026698974843494743,9
cases_lag1,0.009180693052483516,RandomForest,0.024062858052864358,10
district_case_q75,1.5893173217773438,XGBoost,0.34430621220988306,1
cases_roll4_mean,0.3290818929672241,XGBoost,0.07129157816495289,2
temperature_mean_week_lag1,0.18559646606445312,XGBoost,0.040207210576884624,3
cases_per_100k,0.1808319389820099,XGBoost,0.039175033899358135,4
temperature_mean_week,0.17850765585899353,XGBoost,0.038671506310988195,5
humidity_mean_week_lag1,0.16790908575057983,XGBoost,0.03637545537209329,6
ndwi_mean,0.14905162155628204,XGBoost,0.03229021576659947,7
humidity_mean_week,0.1457929164171219,XGBoost,0.03158425704595935,8
worldpop_density_per_km2,0.14341022074222565,XGBoost,0.031068075090706408,9
rainfall_total_week_lag1,0.1321282684803009,XGBoost,0.028623977743744866,10
